,name1,name2
0,DMBX1,DDX58
1,DMBX1,IRF1
2,DMBX1,RPE65
3,DMBX1,NR4A2
4,ADAM10,ADAM17
5,ADAM10,IL6
6,ADAM10,IL1B
7,ADAM10,ICAM1
8,ADAM10,SDC1
9,ADAM10,SHBG
10,ADAM10,RPL11
11,ADAM10,HYAL1
12,ADAM10,IFNG
13,ADAM10,AGT
14,ADAM10,ITIH4
15,ADAM10,SH3BP2
16,ADAM10,RHOA
17,ADAM10,SELP
18,ADAM10,ANXA1
19,ADAM10,IZUMO1
20,ADAM10,CXCL8
21,IL11,IL6
22,IL11,IVD
23,IL11,IL3
24,CCDC22,PRAF2
25,CLEC14A,CLEC7A
26,CLEC14A,CLEC2D
27,CLEC14A,CLEC6A
28,CLEC14A,CLEC4D
29,TDRD5,UBL7
30,TDRD5,SGTA
31,TDRD5,RAD23A
32,TDRD5,PRNP
33,TDRD5,GTF2H1
34,TDRD5,RHOH
35,TDRD5,RNF17
36,TDRD5,HSPA4
37,TDRD5,AMBN
38,TDRD5,RPS27A
39,TDRD5,KLK4
40,TDRD5,HAGH
41,TDRD5,UBR1
42,TDRD5,CCL4
43,TDRD5,ISL1
44,TDRD5,LDB3
45,TDRD5,ANKRD2
46,EXOC7,EXOC1
47,EXOC7,FURIN
48,EXOC7,BST2
49,EXOC7,AP2M1
50,EXOC7,PIP4K2C
51,EXOC7,EXOC8
52,EXOC7,RPS27A
53,EXOC7,PSMC5
54,EXOC7,RHOQ
55,EXOC7,PSME1
56,EXOC7,PSMD7
57,EXOC7,CDC42
58,EXOC7,GAPDH
59,EXOC7,SPI1
60,EXOC7,EXOC4
61,EXOC7,GTF2H2
62,EXOC7,CDK20
63,EXOC7,EXOC2
64,EXOC7,EXOC3
65,EXOC7,EXOC5
66,EXOC7,EXOC6
67,EXOC7,AKT1
68,EXOC7,SNAP23
69,EXOC7,EIF2S2
70,EXOC7,RASGRF1
71,EZH1,PTPN11
72,EZH1,IL6
73,EZH1,IL17A
74,EZH1,IL10
75,EZH1,EZH2
76,EZH1,RELA
77,CHP1,CLN6
78,CHP1,TMEM41B
79,CHP1,AKT1
80,CHP1,RBFOX2
81,CHP1,MTOR
82,CHP1,SEC61A1
83,CHP1,NES
84,CHP1,MPI
85,CHP1,RNF19A
86,CHP1,GFAP
87,CHP1,PYM1
88,CHP1,NGDN
89,CHP1,LYAR
90,CHP1,LARP7
91,CHP1,ATP1A1
92,CHP1,ATP1A3
93,CHP1,NDUFA4
94,CHP1,PTPN11
95,CHP1,MT-CO2
96,CHP1,COX15
97,CHP1,ATP1B1
98,CHP1,VDAC3
99,CHP1,ATP6V1H
100,CHP1,VDAC2
101,CHP1,VDAC1
102,CHP1,ATP1A2
103,SEC61B,IFITM3
104,SEC61B,SCFD1
105,SEC61B,SEC61A1
106,SEC61B,ITIH4
107,SEC61B,SEC62
108,SEC61B,SEC63
109,SEC61B,CEND1
110,SEC61B,SYCP1
111,SEC61B,AKT1
112,SEC61B,CLN6
113,SEC61B,TMEM41B
114,SEC61B,RBFOX2
115,SEC61B,BSG
116,SEC61B,MTOR
117,SEC61B,CHP1
118,SEC61B,SPCS2
119,SEC61B,PTPN11
120,SEC61B,SERPINF1
121,SEC61B,SEC11A
122,SEC61B,NPC2
123,SEC61B,SPCS3
124,SEC61B,RNASET2
125,SEC61B,CXCL16
126,SEC61B,SFRP1
127,SEC61B,VASN
128,SEC61B,CREG1
129,SEC61B,CNOT2
